player,country,games,win_rate,kda,avg_kills,avg_deaths,avg_assists,csm,gpm,kp%,dmg%,dpm,vspm,avg_wpm,avg_wcpm,avg_vwpm,gd@15,csd@15,xpd@15,fb_%,fb_victim,penta_kills,solo_kills
Sn1lle,SE,10,0.6,4.1,2.7,2.7,8.4,5.5,345,0.6729999999999999,13.3,359,1.43,0.31,0.33,0.26,158,-3,-43,0.3,0.1,0,0
Snake,FR,1,0.0,0.1,0.0,8.0,1.0,1.4,205,1.0,3.3,45,3.07,1.52,0.49,0.57,-243,6,-932,0.0,1.0,0,0
Snaker,AR,7,0.7140000000000001,4.4,3.7,2.3,6.4,9.2,439,0.617,24.5,745,1.03,0.44,0.24,0.17,-111,2,185,0.0,0.0,0,0
Sniper,US,6,0.833,3.6,3.8,3.5,8.8,6.7,382,0.556,17.4,535,0.92,0.38,0.14,0.13,-757,-15,-468,0.0,0.33299999999999996,0,2
Soboro,KR,13,0.615,3.9,3.9,3.1,7.9,6.7,372,0.6809999999999999,24.1,699,0.79,0.36,0.1,0.08,172,6,-208,0.231,0.231,0,6
Soldier,FR,8,0.625,11.8,6.0,1.1,7.3,9.2,464,0.722,24.1,598,0.93,0.32,0.24,0.13,1060,20,320,0.25,0.0,0,1
Sotsy,FR,7,0.429,2.4,2.3,3.7,6.7,6.5,341,0.537,16.7,448,0.9,0.35,0.15,0.06,-69,-3,131,0.28600000000000003,0.28600000000000003,0,0
Sounda,KR,8,0.25,2.9,2.6,3.6,8.0,6.0,350,0.7,14.4,396,1.68,0.38,0.44,0.34,-134,3,62,0.25,0.0,0,1
Sparz,TR,10,0.6,3.1,1.4,4.5,12.7,0.9,258,0.6659999999999999,8.6,231,2.96,1.52,0.26,0.38,154,0,205,0.3,0.2,0,0
Sponge,KR,15,0.5329999999999999,2.9,3.4,3.1,5.7,6.6,365,0.768,19.5,467,1.57,0.31,0.36,0.27,369,7,194,0.2,0.0,0,0
Spooder,SE,10,0.5,3.3,2.6,2.2,4.7,7.1,364,0.474,20.4,535,1.02,0.44,0.18,0.17,223,9,361,0.2,0.1,0,1
